stress_ratio,cycles_to_failure,stress_parameter,stress_lowerbound,stress_upperbound
-1.0,1,164.30658486601405,209.7341686136917,142.6231954466566
-1.0,51,134.10094348725264,158.99440025552934,121.40434281090675
-1.0,101,129.44936316072784,151.5376888252585,118.04125977404637
-1.0,151,126.78742520929652,147.31679740468252,116.10302933708144
-1.0,201,124.92756964382365,144.38823394539406,114.74256482490486
-1.0,251,123.50191356950343,142.15499471928769,113.69608054957696
-1.0,301,122.34821038391001,140.35525114086988,112.84683244385273
-1.0,351,121.3806356615966,138.85109201539032,112.13289969542785
-1.0,401,120.548328837545,137.56107322497553,111.51750645346873
-1.0,451,119.81869125496469,136.43314733182464,110.97703736251137
-1.0,501,119.16959018118074,135.43206723720579,110.49543264917918
-1.0,551,118.58531942410892,134.53287691332918,110.06127915620905
-1.0,601,118.05433573701974,133.71727222176543,109.66617781897988
-1.0,651,117.56791025084179,132.97143731714445,109.3037697920254
-1.0,701,117.11928448205171,132.28469310919243,108.9691262335537
-1.0,751,116.7031202719923,131.64861791938685,108.65835017414823
-1.0,801,116.31512890008418,131.0564555011558,108.36830780224183
-1.0,851,115.95181367087115,130.50270477529216,108.09644179045732
-1.0,901,115.61028674980854,129.98282829833568,107.84063835143421
-1.0,951,115.28813597208645,129.4930405388628,107.59913048650921
-1.0,1000,114.98926402601998,129.03916356451327,107.37488337294529
-1.0,10000,102.09192736673677,109.97813562937316,97.47790549155029
-1.0,20000,98.50049652852317,104.89071591749688,94.61004045432499
-1.0,30000,96.45850084341264,102.05659575295986,92.94254773956929
-1.0,40000,95.03540648725954,100.11175355824028,91.75948026494972
-1.0,50000,93.94604344085666,98.64246585630328,90.83959386351282
-1.0,60000,93.06524494676907,97.4684044539099,90.08521717114394
-1.0,70000,92.3269861817923,96.4949598569503,89.444594814046
-1.0,80000,91.69221277563102,95.66641798238612,88.88699744710746
-1.0,90000,91.13592646297822,94.94725216526749,88.39269172640964
-1.0,100000,90.64117178014611,94.31344613011736,87.94825478577793
-1.0,110000,90.19592593893651,93.74802125525707,87.54414397149051
-1.0,120000,89.79135836936052,93.23854099728209,87.17333342826774
-1.0,130000,89.42079495213291,92.7756296709639,86.8305008950858
-1.0,140000,89.07907036782711,92.35204847182779,86.51151819517113
-1.0,150000,88.76210631152868,91.96209503455047,86.21311881284898
-1.0,160000,88.46662727557964,91.60119962816987,85.93267352563507
-1.0,170000,88.18996339510089,91.26564555277753,85.66803453616514
-1.0,180000,87.9299102263316,90.95237060765622,85.41742446741783
-1.0,190000,87.68462682335553,90.65882300391144,85.17935558018938
-1.0,200000,87.45256022250894,90.382854759244,84.9525698567712
-1.0,210000,87.23238853641028,90.12264146817085,84.73599380673176
-1.0,220000,87.02297741838709,89.87662099656846,84.52870386152372
-1.0,230000,86.82334630067734,89.64344599256016,84.32989951716212
-1.0,240000,86.6326418893161,89.42194664358784,84.13888223468871
-1.0,250000,86.4501171232363,89.21110114044713,83.95503867961011
-1.0,260000,86.27511430086037,89.01001201340803,83.77782727297642
-1.0,270000,86.10705142254544,88.81788699533976,83.60676729947538
-1.0,280000,85.9454110412754,88.63402341265628,83.44143001101767
-1.0,290000,85.78973108907313,88.45779535287544,83.2814313028863
-1.0,300000,85.63959727389557,88.28864303759914,83.12642564045667
-1.0,310000,85.49463673545993,88.12606396219104,82.97610098874439
-1.0,320000,85.3545127181873,87.96960546182886,82.83017455245698
-1.0,330000,85.21892007191109,87.81885843769828,82.68838917582083
-1.0,340000,85.08758143085079,87.67345203321108,82.55051028319356
-1.0,350000,84.96024395190412,87.53304909320724,82.41632326571968
-1.0,360000,84.83667651693361,87.39734227233404,82.28563123811008
-1.0,370000,84.71666732213764,87.26605068471402,82.15825310425703
-1.0,380000,84.60002179205456,87.13891700733133,82.03402188192321
-1.0,390000,84.48656076718595,87.0157049656207,81.91278324586135
-1.0,400000,84.37611892332956,86.8961971425793,81.79439425593323
-1.0,410000,84.26854338800834,86.78019306290034,81.67872224266029
-1.0,420000,84.1636925252625,86.66750751191996,81.56564382729182
-1.0,430000,84.06143486483727,86.55796905584359,81.4550440572798
-1.0,440000,83.96164815568389,86.45141873514957,81.34681564115833
-1.0,450000,83.86421852687312,86.347708907556,81.24085826933823
-1.0,460000,83.7690397416384,86.2467022205659,81.13707800944653
-1.0,470000,83.67601253243257,86.1482706966801,81.03538676653176
-1.0,480000,83.58504400667903,86.05229491684875,80.93570179992017
-1.0,490000,83.49604711439912,85.95866328986043,80.83794528967907
-1.0,500000,83.40894017015306,85.86727139710852,80.7420439466585
-1.0,510000,83.32364642278742,85.77802140365385,80.64792866092262
-1.0,520000,83.24009366737326,85.69082152775682,80.55553418408401
-1.0,530000,83.15821389447294,85.60558556209595,80.46479884166375
-1.0,540000,83.07794297251404,85.52223244079231,80.37566427210794
-1.0,550000,82.99922035959565,85.44068584711958,80.28807518952232
-1.0,560000,82.92198884151833,85.36087385743556,80.20197916756331
-1.0,570000,82.84619429322963,85.28272861742379,80.11732644224341
-1.0,580000,82.7717854612219,85.20618604722287,80.03406973167412
-1.0,590000,82.69871376471492,85.13118557242532,79.95216407102372
-1.0,600000,82.62693311371368,85.05766987829765,79.87156666115037
-1.0,610000,82.55639974225367,84.98558468487364,79.79223672956762
-1.0,620000,82.48707205533968,84.91487854085591,79.71413540253485
-1.0,630000,82.41891048825228,84.8455026344698,79.6372255872258
-1.0,640000,82.35187737704405,84.77741061966549,79.56147186300491
-1.0,650000,82.28593683917569,84.71055845617457,79.48684038100195
-1.0,660000,82.22105466335537,84.64490426216828,79.41329877119489
-1.0,670000,82.15719820774424,84.58040817832732,79.34081605635495
-1.0,680000,82.09433630577803,84.51703224229307,79.2693625722457
-1.0,690000,82.03243917893215,84.45474027259255,79.19890989351263
-1.0,700000,81.9714783558259,84.39349776116843,79.12943076480926
-1.0,710000,81.91142659712155,84.33327177379222,79.060899036693
-1.0,720000,81.85225782572827,84.2740308576752,78.99328960590434
-1.0,730000,81.79394706186793,84.21574495566131,78.92657835967492
-1.0,740000,81.73647036260272,84.15838532646333,78.86074212373322
-1.0,750000,81.67980476546224,84.10192447043762,78.79575861371647
-1.0,760000,81.62392823584139,84.04633606044823,78.73160638972033
-1.0,770000,81.56881961787114,83.99159487740978,78.66826481374956
-1.0,780000,81.51445858849067,83.93767675014273,78.60571400983777
-1.0,790000,81.4608256144745,83.88455849919411,78.54393482664874
-1.0,800000,81.4079019121895,83.83221788432671,78.48290880236344
-1.0,810000,81.35566940987664,83.78063355539214,78.42261813168895
-1.0,820000,81.30411071227026,83.72978500632702,78.36304563484086
-1.0,830000,81.25320906738295,83.67965253204902,78.30417472834903
-1.0,840000,81.20294833529984,83.63021718802683,78.24598939756868
-1.0,850000,81.1533129588376,83.58146075234298,78.18847417076577
-1.0,860000,81.10428793593694,83.53336569005374,78.13161409468077
-1.0,870000,81.05585879366681,83.48591511970203,78.07539471145544
-1.0,880000,81.00801156372931,83.43909278180526,78.01980203685201
-1.0,890000,80.96073275936219,83.39288300920528,77.96482253965846
-1.0,900000,80.91400935354498,83.34727069914204,77.91044312220853
-1.0,910000,80.86782875842134,83.30224128692642,77.85665110195325
-1.0,920000,80.82217880585708,83.2577807211145,77.8034341940049
-1.0,930000,80.77704772905996,83.21387544008192,77.75078049459304
-1.0,940000,80.73242414519208,83.17051234989634,77.69867846538547
-1.0,950000,80.68829703891178,83.12767880341585,77.64711691860687
-1.0,960000,80.64465574678577,83.08536258052499,77.59608500291452
-1.0,970000,80.60148994251713,83.04355186943545,77.54557218998701
-1.0,980000,80.55878962293862,83.00223524899535,77.4955682617693
-1.0,990000,80.51654509472401,82.96140167192102,77.44606329835955
-1.0,1000000,80.47474696177406,82.92104044892339,77.3970476664696
-1.0,1010000,80.43338611323642,82.8811412336451,77.34851200845388
-1.0,1020000,80.39245371212158,82.84169400837841,77.30044723185637
-1.0,1030000,80.3519411844798,82.80268907051058,77.2528444994494
-1.0,1040000,80.31184020910625,82.76411701964939,77.20569521974275
-1.0,1050000,80.2721427077436,82.72596874539316,77.15899103793038
-1.0,1060000,80.2328408357537,82.68823541570787,77.1127238272507
-1.0,1070000,80.19392697323178,82.6509084658709,77.06688568074291
-1.0,1080000,80.1553937165378,82.61397958795504,77.02146890337087
-1.0,1090000,80.11723387022238,82.5774407208139,76.97646600450297
-1.0,1100000,80.07944043932491,82.54128404055335,76.93186969071728
-1.0,1110000,80.04200662202382,82.50550195144548,76.88767285892825
-1.0,1120000,80.00492580261968,82.47008707727024,76.84386858981064
-1.0,1130000,79.96819154483337,82.43503225306182,76.80045014150332
-1.0,1140000,79.93179758540253,82.40033051723793,76.7574109435794
-1.0,1150000,79.89573782796039,82.3659751040747,76.71474459128366
-1.0,1160000,79.8600063371823,82.33195943654081,76.672444839994
-1.0,1170000,79.82459733318605,82.2982771194395,76.63050559992651
-1.0,1180000,79.78950518617292,82.2649219328629,76.58892093104986
-1.0,1190000,79.75472441129706,82.23188782592766,76.54768503821727
-1.0,1200000,79.72024966375179,82.19916891079764,76.50679226648134
-1.0,1210000,79.68607573406179,82.16675945695079,76.46623709661196
-1.0,1220000,79.65219754357109,82.13465388570596,76.42601414078068
-1.0,1230000,79.618610140117,82.10284676497392,76.38611813842502
-1.0,1240000,79.58530869388102,82.07133280423557,76.34654395226862
-1.0,1250000,79.55228849340806,82.04010684973225,76.30728656449688
-1.0,1260000,79.51954494178578,82.00916387985127,76.26834107308402
-1.0,1270000,79.48707355297672,81.9784990007092,76.22970268825541
-1.0,1280000,79.45486994829544,81.94810744190856,76.19136672908938
-1.0,1290000,79.42292985302424,81.91798455247498,76.15332862024262
-1.0,1300000,79.39124909316104,81.8881257969544,76.11558388879978
-1.0,1310000,79.35982359229278,81.85852675166812,76.07812816123992
-1.0,1320000,79.32864936858932,81.82918310111283,76.04095716051795
-1.0,1330000,79.29772253191156,81.80009063451207,76.00406670324436
-1.0,1340000,79.26703928102918,81.77124524249253,75.96745269697664
-1.0,1350000,79.23659590094287,81.74264291389683,75.93111113760196
-1.0,1360000,79.20638876030625,81.71427973271554,75.89503810681732
-1.0,1370000,79.1764143089433,81.68615187514189,75.85922976969331
-1.0,1380000,79.14666907545688,81.65825560672943,75.82368237233385
-1.0,1390000,79.1171496649246,81.63058727966646,75.78839223960726
-1.0,1400000,79.08785275667799,81.60314333014944,75.75335577296133
-1.0,1410000,79.05877510216155,81.57592027585318,75.71856944831298
-1.0,1420000,79.02991352286824,81.5489147134937,75.68402981401215
-1.0,1430000,79.00126490834813,81.52212331648471,75.64973348887065
-1.0,1440000,78.97282621428717,81.49554283267666,75.61567716026094
-1.0,1450000,78.94459446065301,81.4691700821771,75.58185758227808
-1.0,1460000,78.91656672990533,81.44300195525193,75.548271573962
-1.0,1470000,78.88874016526779,81.41703541030142,75.5149160175783
-1.0,1480000,78.8611119690592,81.39126747190328,75.48178785695978
-1.0,1490000,78.83367940108131,81.36569522893076,75.4488840958966
-1.0,1500000,78.80643977706136,81.3403158327378,75.41620179657839
-1.0,1510000,78.77939046714653,81.31512649539837,75.38373807809359
-1.0,1520000,78.75252889444893,81.29012448801379,75.35149011497163
-1.0,1530000,78.72585253363854,81.26530713907881,75.31945513576979
-1.0,1540000,78.69935890958254,81.2406718328997,75.28763042170851
-1.0,1550000,78.67304559602916,81.21621600806643,75.25601330534963
-1.0,1560000,78.64691021433417,81.19193715598063,75.22460116931157
-1.0,1570000,78.62095043222861,81.16783281942467,75.1933914450311
-1.0,1580000,78.59516396262596,81.14390059118865,75.16238161155565
-1.0,1590000,78.56954856246729,81.12013811273277,75.13156919437915
-1.0,1600000,78.544102031603,81.09654307289962,75.10095176431072
-1.0,1610000,78.5188222117099,81.0731132066685,75.07052693637534
-1.0,1620000,78.49370698524189,81.04984629394667,75.04029236875122
-1.0,1630000,78.46875427441346,81.02674015840097,75.01024576173883
-1.0,1640000,78.44396204021454,81.0037926663298,74.9803848567564
-1.0,1650000,78.41932828145559,80.98100172556624,74.95070743537059
-1.0,1660000,78.39485103384176,80.95836528442064,74.9212113183498
-1.0,1670000,78.37052836907534,80.93588133064853,74.89189436475435
-1.0,1680000,78.34635839398504,80.91354789046565,74.86275447103768
-1.0,1690000,78.32233924968149,80.89136302757254,74.83378957019397
-1.0,1700000,78.29846911073791,80.86932484223264,74.80499763090783
-1.0,1710000,78.27474618439507,80.84743147035665,74.77637665674916
-1.0,1720000,78.25116870978955,80.82568108263202,74.74792468537538
-1.0,1730000,78.22773495720472,80.80407188366912,74.7196397877633
-1.0,1740000,78.20444322734352,80.78260211117694,74.69152006746164
-1.0,1750000,78.18129185062213,80.7612700351607,74.66356365986519
-1.0,1760000,78.15827918648425,80.74007395714887,74.635768731504
-1.0,1770000,78.13540362273471,80.71901220943408,74.60813347936181
-1.0,1780000,78.11266357489228,80.69808315434902,74.5806561302006
-1.0,1790000,78.09005748556058,80.67728518354933,74.55333493991657
-1.0,1800000,78.0675838238169,80.65661671732914,74.52616819290289
-1.0,1810000,78.04524108461798,80.63607620394887,74.49915420143779
-1.0,1820000,78.02302778822241,80.61566211898763,74.47229130508192
-1.0,1830000,78.0009424796289,80.59537296471129,74.44557787009667
-1.0,1840000,77.97898372803017,80.5752072694563,74.41901228887936
-1.0,1850000,77.95715012628169,80.55516358703836,74.39259297940544
-1.0,1860000,77.93544029038485,80.53524049617026,74.3663183846938
-1.0,1870000,77.91385285898431,80.51543659989969,74.34018697228198
-1.0,1880000,77.89238649287863,80.49575052506208,74.31419723371555
-1.0,1890000,77.87103987454422,80.47618092174838,74.28834768405137
-1.0,1900000,77.84981170767193,80.4567264627886,74.2626368613722
-1.0,1910000,77.82870071671583,80.43738584324754,74.23706332631544
-1.0,1920000,77.80770564645402,80.41815777993608,74.21162566161307
-1.0,1930000,77.78682526156089,80.399041010936,74.18632247164192
-1.0,1940000,77.7660583461906,80.38003429513373,74.16115238198995
-1.0,1950000,77.7454037035713,80.36113641177334,74.13611403902597
-1.0,1960000,77.72486015560986,80.34234616001434,74.11120610948824
-1.0,1970000,77.70442654250687,80.32366235850927,74.08642728007439
-1.0,1980000,77.68410172238129,80.30508384498255,74.0617762570517
-1.0,1990000,77.66388457090481,80.28660947582856,74.03725176586886
-1.0,3000000,76.03415517664959,78.81418923629532,72.04897951415718
-1.0,4000000,74.91239010503176,77.81665624083146,70.67080585327172
-1.0,5000000,74.05369130513681,77.05978064751532,69.61261221170506
-1.0,6000000,73.35939511772735,76.45127783560135,68.7557831556109
-1.0,7000000,72.77745696809872,75.94325759373928,68.03714853899507
-1.0,8000000,72.2770919484886,75.50771047231815,67.41911429607393
-1.0,9000000,71.83859498400071,75.12685652502698,66.87751657764933
-1.0,10000000,71.44860079997437,74.78871329547738,66.3959170496485
-1.0,11000000,71.09763234114206,74.48482749767587,65.96263398264757
-1.0,12000000,70.77872884279185,74.20901610240625,65.56907306357205
-1.0,13000000,70.48662937906481,73.95662215273825,65.20873045573647
-1.0,14000000,70.2172623471952,73.72405201792952,64.87656764438553
-1.0,15000000,69.9674129919669,73.50847544012495,64.56860336312202
-1.0,16000000,69.73449936927577,73.30762422410936,64.28163809677734
-1.0,17000000,69.51641693759619,73.1196530793525,64.0130626766071
-1.0,18000000,69.31142802717883,72.94304094875754,63.76072196950096
-1.0,19000000,69.118081498246,72.77651948041634,63.522815687801014
-1.0,30000000,67.5060712270425,71.38984077426379,61.5437748496775
-1.0,130000000,62.58076271594562,67.15475969445497,55.564103372061
-1.0,230000000,60.76294933360422,65.58642100258308,53.38891394514972
-1.0,330000000,59.64009846685215,64.6151301192408,52.05506449370917
-1.0,430000000,58.83003737166865,63.91300511277111,51.09762277000654
-1.0,530000000,58.19792202023734,63.36422544012821,50.35339932264561
-1.0,630000000,57.680523678335405,62.91442406106622,49.74616616600484
-1.0,730000000,57.243145684618845,62.533738216565496,49.23422115193241
-1.0,830000000,56.864712500900524,62.20401272808304,48.79229840552154
-1.0,930000000,56.53147301511816,61.91339251885489,48.40394928207824
-1.0,1030000000,56.23396400941532,61.65371325410077,48.0578763011692
-1.0,1130000000,55.96539845758928,61.419115547094194,47.74599108087667
-1.0,1230000000,55.720745399537485,61.20525336451197,47.462307522319804
-1.0,1330000000,55.496173572834955,61.00881512526678,47.202273599997405
0.1,1,613.8194246307106,1565.1720847153738,419.616479506477
0.1,51,406.62428463671876,766.4517959021989,313.65862127689076
0.1,101,378.54038088394145,677.1583890650522,298.12551350740404
0.1,151,362.9268979339847,629.5795550284761,289.3310377780871
0.1,201,352.21569766138623,597.8048458929222,283.22691622565486
0.1,251,344.1151868967745,574.2469771410384,278.5701326066514
0.1,301,337.6298037326718,555.6815748283572,274.81565246788415
0.1,351,332.2389180282522,540.4504862629852,271.6764279793369
0.1,401,327.63685689829197,527.5933508708874,268.9829531750222
0.1,451,323.62923654129565,516.5064460969426,266.62690786394097
0.1,501,320.0849776550482,506.7867066667663,264.5349373501071
0.1,551,316.91162025037676,498.15231791646215,262.65510409116274
0.1,601,314.04157680392956,490.39889814515203,260.94931363658566
0.1,651,311.4239878260856,483.3737489409449,259.38881185579345
0.1,701,309.0196502171444,476.9599377361858,257.9513722844146
0.1,751,306.79772695113815,471.0660398724858,256.619466190859
0.1,801,304.73353781634364,465.61929313592657,255.37903067454403
0.1,851,302.80703202217563,460.5608918786735,254.21861492015168
0.1,901,301.0017052867164,455.8426681647828,253.12877353401353
0.1,951,299.30381503090007,451.4246983961684,252.10162595720692
0.1,1000,297.7329672564336,447.35414185305615,251.14944088119233
0.1,10000,233.93167205082727,296.28102677933003,210.50844356409377
0.1,20000,217.55034442589948,262.3808611538569,199.11080835814425
0.1,30000,208.50493877732515,244.69410579924505,192.48315913434496
